Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Session Management ,Console user created ,302,Info ,'$userName1$' created new username ‘$userName2$’. 
Session Management ,Console user deleted ,303,Info ,'$userName1$' deleted the user '$userName2$'. 
Session Management ,Console user login ,300,Info ,User '$username$' logged in from $ipaddress$. 
,,,,User '$username$' logged in from $ipaddress$ via SAML. 
,,,,User '$username$' redirected to unified server $serverName$. 
,,,,"Change Note: In v8.0.0, a new description option for Unified Management was added. In v8.1.0, a new description option was added for SAML logins. "
Session Management ,Console user logout ,301,Info ,User '$username$' logged out. 
Session Management ,Console user modified ,304,Info ,'$userName1$' changed the User Roles for $userName2$'. 
,,,,'$userName1$' changed the password for '$userName2$'. ‘$userName1$’ modified the user ‘$userName2$’. 
,,,,‘$userName1$' changed the password for '$userName2$'. 
,,,,‘$userName1$’ created the API token for '$userName2$'. 
,,,,Unified server modified the unified user $userName2$. 
,,,,"Change Note: In pre-8.0.0 releases, the first description referred to “access level” instead of user roles, and listed the user group the user was moved from and to. User groups were changed to user roles in v8.0.0, and users can have more than one role. Also, unified servers are new for v8.0.0; the “Unified server modified” message indicates that a user has been authenticated on a client server. "
Session Management ,Multiple failed logins ,305,Warning ,User '$username$' has failed to login $param1$ times in a row. Current IP Address $ipaddress$. 
Session Management ,User Role AD rules changed ,309,Notice ,'$username$' modified an AD rule for mapping $param1$ to the User Role $param2$. 
Session Management ,User Role created ,306,Info ,User Role '$param1$' created by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
Session Management ,User Role deleted ,307,Info ,User Role '$param1$' deleted by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
Session Management ,User Role modified ,308,Info ,User Role '$param1$' modified by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
